distance,basis,orientation,rounds,decoder,model,shots,ler,ler_per_cycle,decode_seconds,note
3,X,q8_5,10,ising,fast,50000,0.38794,0.06945548015556469,0.1506337269966025,"R=9,rot=XV"
3,X,q8_5,13,ising,fast,50000,0.4238,0.0673639606556431,0.19508806397789158,"R=9,rot=XV"
3,X,q8_5,30,ising,fast,50000,0.49724,0.07956263369352767,0.4533959279942792,"R=9,rot=XV"
3,X,q8_5,50,ising,fast,50000,0.4996,0.0664573737586866,0.7610332460026257,"R=9,rot=XV"
3,X,q8_5,70,ising,fast,50000,0.49964,0.04910569055587222,1.091942097991705,"R=9,rot=XV"
3,X,q8_5,90,ising,fast,50000,0.50022,0.5,1.4114244989759754,"R=9,rot=XV"
3,X,q8_5,110,ising,fast,50000,0.49986,0.03583601398523156,1.7561160800105426,"R=9,rot=XV"
3,X,q8_5,130,ising,fast,50000,0.501,0.5,2.06321093000588,"R=9,rot=XV"
3,X,q8_5,150,ising,fast,50000,0.50398,0.5,2.362690323992865,"R=9,rot=XV"
3,X,q8_5,170,ising,fast,50000,0.49896,0.01783697149590957,2.6910015270113945,"R=9,rot=XV"
3,X,q8_5,190,ising,fast,50000,0.5015,0.5,3.0299355309980456,"R=9,rot=XV"
3,X,q8_5,210,ising,fast,50000,0.50044,0.5,3.3840196669916622,"R=9,rot=XV"
3,X,q8_5,230,ising,fast,50000,0.50096,0.5,3.6689818860031664,"R=9,rot=XV"
3,X,q8_5,250,ising,fast,50000,0.49914,0.01257015398630379,3.9647245579981245,"R=9,rot=XV"
3,X,q8_9,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,X,q8_9,10,ising,fast,50000,0.4235,0.08558148762659556,0.1529235920170322,"R=9,rot=XV"
3,X,q8_9,13,ising,fast,50000,0.4512,0.08194312012102012,0.1963373270118609,"R=9,rot=XV"
3,X,q8_9,30,ising,fast,50000,0.49986,0.11933588440768567,0.4599066279770341,"R=9,rot=XV"
3,X,q8_9,50,ising,fast,50000,0.50096,0.5,0.7671017070242669,"R=9,rot=XV"
3,X,q8_9,70,ising,fast,50000,0.5002,0.5,1.097211807005806,"R=9,rot=XV"
3,X,q8_9,90,ising,fast,50000,0.49782,0.029302299731355508,1.4382982020033523,"R=9,rot=XV"
3,X,q8_9,110,ising,fast,50000,0.50212,0.5,1.7815945020120125,"R=9,rot=XV"
3,X,q8_9,130,ising,fast,50000,0.50062,0.5,2.0854283630033024,"R=9,rot=XV"
3,X,q8_9,150,ising,fast,50000,0.49748,0.01732714574899208,2.3894904569897335,"R=9,rot=XV"
3,X,q8_9,170,ising,fast,50000,0.50104,0.5,2.724711995018879,"R=9,rot=XV"
3,X,q8_9,190,ising,fast,50000,0.49932,0.0170709095483631,3.0516249090142082,"R=9,rot=XV"
3,X,q8_9,210,ising,fast,50000,0.49798,0.012951937142226422,3.4400209119776264,"R=9,rot=XV"
3,X,q8_9,230,ising,fast,50000,0.49534,0.010061714739127314,3.701360309001757,"R=9,rot=XV"
3,X,q8_9,250,ising,fast,50000,0.49656,0.009859761138931777,4.029227034014184,"R=9,rot=XV"
